date,start_time,end_time,description,longitude,latitude,type
2025-04-01,16:25:00,16:55:00,<공사> 구마로 성당네거리 세계로교회 1차로 주의운전 지하 시설 작업,128.555981,35.83741,공사
2025-04-01,15:57:00,16:59:00,<공사> 달구벌대로 성서IC 이곡역사거리 3차로 주의운전 도로공사,128.51665,35.85076,공사
2025-04-01,15:54:00,17:00:00,"<공사> 지범로 SOil한결셀프 두산동618 4,5차로 주의운전 하수도/배수로 작업",128.62564,35.827178,공사
2025-04-01,15:14:00,15:44:00,<공사> 월곡로 DGB대구은행은하점앞 월성남네거리 1차로 주의운전 도로도색,128.534759,35.82171,공사
2025-04-01,13:50:17,14:20:17,<공사> 중부내륙고속도로지선 화원IC서측 화원IC 종점방향 1차로 작업,128.4764,35.8,공사
2025-04-01,11:01:00,11:31:00,<공사> 학정로48길 구암동758 함지고등학교 1차로 주의운전 도로공사,128.559599,35.92788,공사
2025-04-01,10:57:00,11:27:00,<공사> 통학길 서대구전화국앞교차로 대구내당1동우체국 1차로 주의운전 가로등 작업,128.563682,35.866504,공사
2025-04-01,10:00:00,15:00:00,<공사> 중앙대로 동침산네거리방면 대구역북편네거리 4차로 주의운전 도로공사,128.59659,35.882615,공사
2025-04-01,10:30:00,11:30:00,<공사> 송라로 신암지하차도 공고네거리 3차로 주의운전 지하 시설 작업,128.615738,35.878314,공사
2025-04-01,10:29:00,10:59:00,<공사> 월서로 상인동 보성은하아파트 상원로128앞사거리 단속카메라유지보수 1차로 주의운전 유지보수,128.531889,35.820476,공사
2025-04-01,10:22:00,10:52:00,<공사> 월곡로 월성남네거리 DGB대구은행은하점앞 1차로 주의운전 배수구 청소,128.53303,35.822797,공사
2025-04-01,10:21:00,10:51:00,"<공사> 일반국도25호선 담티교 담티교 4,5차로 주의운전 하수도/배수로 작업",128.665973,35.85046,공사
2025-04-01,09:00:00,12:00:00,"<공사> 선원로 신당동167717 신당동행정복지센터 3,4차로 주의운전 유지보수",128.49786,35.859237,공사
2025-04-01,09:37:00,16:07:00,<공사> 일반국도30호선 성서네거리 성서경찰서교차로 5차로 주의운전 도로공사,128.507744,35.851394,공사
2025-04-01,09:34:00,10:04:00,<공사> 대덕로 봉덕네거리 중동교 1차로 주의운전 하수도/배수로 작업,128.60033,35.840758,공사
2025-04-01,09:28:00,09:58:00,<공사> 송현로 청소년수련원앞교차로 송현동2040 1차로 주의운전 고가 시설 작업,128.55069,35.820612,공사
2025-04-01,09:23:53,09:53:53,<공사> 중앙고속도로 금호터널 금호터널 기점방향 1차로 작업,128.5335,35.9315,공사
2025-04-01,08:10:00,23:59:00,<공사> 유통로 IBK기업은행대구유통단 종합전자도매상가앞 양방향 1차로 도로보수관련 공사 중입니다. 도로공사,128.60363,35.904313,공사
2025-04-01,08:07:00,17:37:00,<공사> 이곡동로 이곡동13011 성서경찰서교차로 3차로 주의운전 도로공사,128.509915,35.854774,공사
2025-04-01,07:23:00,07:53:00,<공사> 중앙대로41길 대명동23211 교대역대구1호선 3차로 주의운전 재포장,128.59046,35.850864,공사
